,tune,chords
30,8,"[('2', 'Cmaj7'), ('2', 'Abm7sus'), ('2', 'Em7b5'), ('2', 'A7b9'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dbm6'), ('2', 'Abm7')]"
31,9,"[('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'D7#11'), ('1', 'D7#11'), ('1', 'Dm7'), ('1', 'Dm7#11')]"
32,9,"[('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'D7#11'), ('1', 'D7#11'), ('1', 'Dm7'), ('1', 'Dm7#11')]"
33,9,"[('1', 'Dbmaj7'), ('1', 'Dbmaj7'), ('1', 'Gb7'), ('1', 'Gb7'), ('1', 'Dbm7'), ('1', 'Dbm7'), ('1', 'A7'), ('1', 'A7'), ('1', 'Dm7'), ('1', 'Dm7'), ('1', 'Bm7'), ('1', 'Bm7'), ('1', 'Em7'), ('1', 'A7b9b5'), ('1', 'Dm7'), ('1', 'G7b9b5')]"
34,9,"[('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'D7#11'), ('1', 'D7#11'), ('1', 'Dm7'), ('1', 'Dm7#11'), ('1', 'Cmaj7'), ('1', 'Dm7')]"
35,10,"[('1', 'Bm7b5'), ('1', 'E7'), ('1', 'Am7'), ('1', 'D7'), ('1', 'Dm7'), ('1', 'G7b9'), ('1', 'Cm7'), ('1', 'A7b9')]"
36,10,"[('1', 'Bm7b5'), ('1', 'E7'), ('1', 'Am7'), ('1', 'Am/G'), ('1', 'Gbm7b5'), ('1', 'B7'), ('1', 'Gbm7'), ('1', 'E7')]"
37,10,"[('1', 'Bm7b5'), ('1', 'E7'), ('1', 'Am7'), ('1', 'D7'), ('1', 'Dm7'), ('1', 'G7b9'), ('1', 'Bm7sus'), ('1', 'A7')]"
38,10,"[('1', 'Dm7'), ('1', 'Bm7sus'), ('1', 'E7b9'), ('1', 'A7'), ('1', 'Am7'), ('1', 'G7'), ('1', 'Cm7'), ('2', 'Dbm/D'), ('2', 'Dbm/Db')]"
39,11,"[('2', 'Am7'), ('2', 'D7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Fmaj7'), ('2', 'Em7'), ('2', 'Edim7'), ('1', 'Dm7'), ('2', 'G7sus'), ('2', 'G7'), ('1', 'Cmaj7'), ('2', 'Em7b5'), ('2', 'A7b9')]"
40,11,"[('2', 'Am7'), ('2', 'D7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Fmaj7'), ('2', 'Em7'), ('2', 'Edim7'), ('1', 'Dm7'), ('2', 'G7sus'), ('2', 'G7'), ('1', 'Cmaj7'), ('2', 'Em7b5'), ('2', 'A7b9')]"
41,11,"[('2', 'Dm7'), ('2', 'G7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Cmaj7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dmaj7'), ('2', 'Bm7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'G7')]"
42,11,"[('2', 'Am7'), ('2', 'D7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Fmaj7'), ('2', 'Em7'), ('2', 'Edim7'), ('1', 'Dm7'), ('2', 'G7sus'), ('2', 'G7'), ('1', 'Cmaj7'), ('2', 'Em7b5'), ('2', 'A7b9')]"
43,12,"[('1', 'Cmaj7'), ('2', 'Em7b5'), ('2', 'A7b9'), ('1', 'Dm7'), ('1', 'Bm7'), ('2', 'Fm'), ('4', 'Bm7'), ('4', 'Bdim'), ('2', 'Cmaj7'), ('4', 'E7'), ('4', 'A7'), ('2', 'D7'), ('2', 'Abm7')]"
44,12,"[('1', 'Cmaj7'), ('2', 'Em7b5'), ('2', 'A7b9'), ('1', 'Dm7'), ('1', 'Bm7'), ('2', 'Fm'), ('4', 'Bm7'), ('4', 'Bdim'), ('2', 'Cmaj7'), ('4', 'E7'), ('4', 'A7'), ('2', 'D7'), ('2', 'Abm7')]"
45,12,"[('1', 'Em7'), ('2', 'Gbm7b5'), ('2', 'B7b9'), ('1', 'Em7'), ('2', 'A7'), ('2', 'Ab7#9'), ('2', 'Gmaj7'), ('2', 'Em7'), ('2', 'Am7b5'), ('2', 'D7'), ('2', 'Dm7'), ('2', 'Abdim7'), ('2', 'Ab7b5'), ('4', 'Abm7'), ('4', 'Db7')]"
46,12,"[('1', 'Cmaj7'), ('2', 'Em7b5'), ('2', 'A7b9'), ('1', 'Dm7'), ('1', 'Bm7'), ('2', 'Fm7'), ('4', 'Bm7'), ('4', 'Bdim'), ('2', 'Cmaj7'), ('4', 'E7'), ('4', 'A7'), ('2', 'D7'), ('2', 'Abm7'), ('2', 'Dbm6'), ('2', 'Dm7')]"
47,13,"[('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7')]"
48,13,"[('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'Bbmaj7'), ('1', 'Bbmaj7'), ('1', 'C7'), ('1', 'C7'), ('1', 'D7'), ('1', 'D7'), ('1', 'D7'), ('1', 'D7'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'D7'), ('1', 'D7'), ('1', 'Fm7'), ('1', 'Fm7'), ('1', 'FmM7b5'), ('1', 'D7'), ('1', 'D7')]"
49,13,[]
50,13,"[('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'Bbmaj7'), ('1', 'Bbmaj7'), ('1', 'C7'), ('1', 'C7'), ('1', 'D7'), ('1', 'D7'), ('1', 'D7'), ('1', 'D7'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'D7'), ('1', 'D7'), ('1', 'Fm7'), ('1', 'Fm7'), ('1', 'FmM7b5'), ('1', 'D7'), ('1', 'D7')]"
51,13,[]
52,13,"[('1', 'C7'), ('1', 'C7'), ('1', 'C7')]"
53,13,"[('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7')]"
54,13,"[('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'Bbmaj7'), ('1', 'Bbmaj7'), ('1', 'C7'), ('1', 'C7'), ('1', 'D7'), ('1', 'D7'), ('1', 'D7'), ('1', 'D7'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'D7'), ('1', 'D7'), ('1', 'Fm7'), ('1', 'Fm7'), ('1', 'FmM7b5'), ('1', 'D7'), ('1', 'D7')]"
55,13,[]
56,13,"[('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'Bbmaj7'), ('1', 'Bbmaj7'), ('1', 'C7'), ('1', 'C7'), ('1', 'D7'), ('1', 'D7'), ('1', 'D7'), ('1', 'D7'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'D7'), ('1', 'D7'), ('1', 'Fm7'), ('1', 'Fm7'), ('1', 'FmM7b5'), ('1', 'D7'), ('1', 'D7')]"
57,13,"[('1', 'C7'), ('1', 'C7'), ('1', 'C7')]"
58,14,"[('1', 'Abm13sus'), ('1', 'Abm13b9'), ('1', 'Gm7'), ('2', 'Dbm7b9'), ('2', 'Dbm13'), ('1', 'Fmaj7'), ('1', 'Bb13'), ('2', 'Em'), ('2', 'Dbm/E'), ('2', 'Em6'), ('2', 'Em7'), ('2', 'EmM7'), ('2', 'Em7'), ('1', 'Bbm7#5'), ('1', 'Abm13sus'), ('1', 'Abm13b9')]"
59,14,"[('1', 'Abm13sus'), ('1', 'Abm13b9'), ('1', 'Gm7'), ('2', 'Dbm7b9'), ('2', 'Dbm13'), ('1', 'Fmaj7'), ('1', 'Bb13'), ('2', 'Em'), ('2', 'Dbm/E'), ('2', 'Em6'), ('2', 'Em7'), ('2', 'EmM7'), ('2', 'Em7'), ('1', 'Bbm7#5'), ('1', 'Abm13sus'), ('1', 'Abm13b9')]"
60,14,"[('1', 'Gbm11'), ('1', 'Gbm13#11'), ('1', 'Em11'), ('1', 'Bbm13b9'), ('1', 'Dm11'), ('1', 'Abm13b9'), ('2', 'E13'), ('2', 'E7#5'), ('2', 'Bbm9sus'), ('2', 'Bbm7#5')]"
61,14,"[('1', 'Abm13sus'), ('1', 'Abm13b9'), ('1', 'Em9'), ('1', 'Bbm7b13'), ('1', 'Dm9'), ('1', 'Abm13b9'), ('1', 'Dbm6'), ('1', 'Dbm6')]"
62,15,"[('1', 'Cm'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cm'), ('2', 'Dm7b5'), ('2', 'G7b9')]"
