,tune,chords,notes
29,29,"[('2', 'Am7'), ('2', 'D7'), ('1', 'Gmaj7'), ('2', 'Gm7'), ('2', 'Dbm7'), ('2', 'Fmaj7'), ('2', 'Bm7')]","[70.0, 67.0, 72.0, 69.0, 61.0, 62.0, 70.0]"
30,30,"[('2', 'Cmaj7'), ('2', 'Abm7sus'), ('2', 'Em7b5'), ('2', 'A7b9'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dbm6'), ('2', 'Abm7')]","[60.0, 63.0, 67.0, 65.0, 67.0, 70.0, 65.0, 70.0]"
31,31,"[('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'D7#11'), ('1', 'D7#11'), ('1', 'Dm7'), ('1', 'Dm7#11')]","[67.0, 72.0, 70.0, 65.0, 62.0, 65.0]"
32,32,"[('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'D7#11'), ('1', 'D7#11'), ('1', 'Dm7'), ('1', 'Dm7#11')]","[59.0, 60.0, 55.0, 58.0, 55.0, 56.0]"
33,33,"[('1', 'Dbmaj7'), ('1', 'Dbmaj7'), ('1', 'Gb7'), ('1', 'Gb7'), ('1', 'Dbm7'), ('1', 'Dbm7'), ('1', 'A7'), ('1', 'A7'), ('1', 'Dm7'), ('1', 'Dm7'), ('1', 'Bm7'), ('1', 'Bm7'), ('1', 'Em7'), ('1', 'A7b9b5'), ('1', 'Dm7'), ('1', 'G7b9b5')]","[72.0, 74.0, 76.0, 72.0, 69.0, 65.0, 62.0, 63.0, 65.0, 67.0, 69.0, 71.0, 69.0, 67.0, 66.0, 74.0]"
34,34,"[('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'D7#11'), ('1', 'D7#11'), ('1', 'Dm7'), ('1', 'Dm7#11'), ('1', 'Cmaj7'), ('1', 'Dm7')]","[60.0, 63.0, 60.0, 56.0, 58.0, 56.0, 53.0, 58.0]"
35,35,"[('1', 'Bm7b5'), ('1', 'E7'), ('1', 'Am7'), ('1', 'D7'), ('1', 'Dm7'), ('1', 'G7b9'), ('1', 'Cm7'), ('1', 'A7b9')]","[59.0, 60.0, 62.0, 62.0, 65.0, 62.0, 65.0, 67.0]"
36,36,"[('1', 'Bm7b5'), ('1', 'E7'), ('1', 'Am7'), ('1', 'Am/G'), ('1', 'Gbm7b5'), ('1', 'B7'), ('1', 'Gbm7'), ('1', 'E7')]","[53.0, 57.0, 53.0, 57.0, 62.0, 63.0, 60.0, 63.0]"
37,37,"[('1', 'Bm7b5'), ('1', 'E7'), ('1', 'Am7'), ('1', 'D7'), ('1', 'Dm7'), ('1', 'G7b9'), ('1', 'Bm7sus'), ('1', 'A7')]","[64.0, 67.0, 72.0, 76.0, 72.0, 69.0, 70.0, 73.0]"
38,38,"[('1', 'Dm7'), ('1', 'Bm7sus'), ('1', 'E7b9'), ('1', 'A7'), ('1', 'Am7'), ('1', 'G7'), ('1', 'Cm7'), ('2', 'Dbm/D'), ('2', 'Dbm/Db')]","[59.0, 62.0, 67.0, 70.0, 72.0, 71.0, 70.0, 69.0, 67.0]"
