,tune,chords,notes
1812,1812,"[('2', 'Bm7'), ('2', 'Bbm7'), ('2', 'Abm7'), ('2', 'Gb7b9'), ('2', 'Bm7'), ('2', 'Bbm7'), ('2', 'Abm7'), ('2', 'Gb7b9'), ('2', 'Bm7'), ('2', 'Bbm7'), ('2', 'Abm7'), ('2', 'Gb7b9'), ('2', 'Bm7'), ('2', 'Bbm7'), ('2', 'Abm7'), ('2', 'Gb7b9')]","[65.0, 69.0, 71.0, 67.0, 66.0, 64.0, 61.0, 60.0, 65.0, 58.0, 63.0, 65.0, 66.0, 63.0, 64.0, 66.0]"
1813,1813,"[('2', 'Bm7'), ('2', 'Bm7'), ('2', 'Abm7b5'), ('2', 'Gmaj7'), ('2', 'Bm7/Gb'), ('2', 'Abm7b5'), ('2', 'Dbm7b5'), ('2', 'Gb7b9'), ('2', 'Bm7'), ('2', 'Bm7'), ('2', 'Abm7b5'), ('2', 'Gmaj7'), ('2', 'Bm7/Gb'), ('2', 'Abm7b5'), ('4', 'Dbm7b5'), ('4', 'Gb7'), ('2', 'Bm7')]","[65.0, 62.0, 71.0, 73.0, 68.0, 61.0, 64.0, 65.0, 67.0, 68.0, 69.0, 68.0, 67.0, 72.0, 67.0, 68.0, 70.0]"
1814,1814,"[('2', 'Cmaj7'), ('2', 'Dbdim7'), ('2', 'D9'), ('2', 'Abm13'), ('2', 'Gbm7b5'), ('2', 'Fm7'), ('2', 'Em7b5'), ('2', 'A7b9'), ('2', 'Dm7'), ('2', 'Fm6'), ('2', 'Abm7sus'), ('2', 'Abm9')]","[65.0, 69.0, 68.0, 69.0, 75.0, 72.0, 70.0, 66.0, 69.0, 66.0, 62.0, 66.0]"
1815,1815,"[('2', 'Cmaj7'), ('2', 'Dbdim7'), ('2', 'D9'), ('2', 'Abm13'), ('2', 'Gbm7b5'), ('2', 'Fm7'), ('2', 'Em7b5'), ('2', 'A7b9'), ('2', 'Dm7'), ('2', 'Fm6'), ('2', 'Abm7sus'), ('2', 'Abm9')]","[65.0, 60.0, 60.0, 60.0, 63.0, 61.0, 61.0, 61.0, 57.0, 59.0, 57.0, 55.0]"
1816,1816,"[('2', 'Dbmaj7'), ('2', 'Bbm7'), ('2', 'Ebm7'), ('2', 'Ab7'), ('2', 'Dbmaj7'), ('4', 'Bbm7'), ('4', 'Bbm/Ab'), ('1', 'Abm9'), ('2', 'Cmaj7'), ('4', 'Am7'), ('4', 'Am'), ('4', 'Gbm7b5'), ('4', 'B7'), ('4', 'Em7'), ('4', 'Em7'), ('1', 'Dm7'), ('1', 'Db9')]","[65.0, 67.0, 69.0, 70.0, 69.0, 67.0, 64.0, 60.0, 65.0, 61.0, 63.0, 62.0, 60.0, 59.0, 58.0, 55.0, 51.0]"
1817,1817,"[('2', 'Cmaj7'), ('2', 'Dbdim7'), ('2', 'D9'), ('2', 'Abm13'), ('2', 'Gbm7b5'), ('2', 'Fm7'), ('2', 'Em7b5'), ('2', 'A7b9'), ('2', 'Dm7'), ('2', 'Fm6'), ('2', 'Dm7'), ('2', 'Abm7sus'), ('2', 'Dbm69'), ('2', 'A7b9'), ('2', 'Dm7'), ('2', 'Abm7')]","[65.0, 67.0, 68.0, 67.0, 62.0, 70.0, 67.0, 70.0, 72.0, 73.0, 66.0, 66.0, 66.0, 69.0, 72.0, 74.0]"
1818,1818,"[('2', 'Cmaj7'), ('2', 'Dm7'), ('2', 'Em7'), ('4', 'Dm7'), ('4', 'G7'), ('2', 'Cmaj7'), ('2', 'Gbm7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Gbm7b5'), ('2', 'Fm7'), ('2', 'Cmaj7/E'), ('2', 'A7#9'), ('2', 'Dm7'), ('2', 'G7')]","[65.0, 69.0, 72.0, 72.0, 72.0, 74.0, 75.0, 77.0, 74.0, 75.0, 79.0, 72.0, 73.0, 74.0, 74.0]"
1819,1819,"[('2', 'Cmaj7'), ('2', 'Dm7'), ('2', 'Em7'), ('4', 'Dm7'), ('4', 'G7'), ('2', 'Cmaj7'), ('2', 'Gbm7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Gbm7b5'), ('2', 'Fm7'), ('2', 'Cmaj7/E'), ('2', 'A7#9'), ('2', 'Dm7'), ('2', 'G7')]","[65.0, 67.0, 69.0, 71.0, 73.0, 69.0, 65.0, 60.0, 61.0, 63.0, 65.0, 63.0, 65.0, 63.0, 62.0]"
1820,1820,"[('2', 'Gm7'), ('2', 'Dbm7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'Gm7'), ('2', 'Dbm7'), ('1', 'Fmaj7'), ('2', 'Am7'), ('2', 'D7'), ('2', 'Bm7'), ('2', 'Em7'), ('2', 'Am7'), ('2', 'D7'), ('2', 'Dm7'), ('2', 'G7')]","[65.0, 67.0, 70.0, 74.0, 77.0, 82.0, 81.0, 79.0, 82.0, 85.0, 87.0, 86.0, 84.0, 81.0, 83.0]"
1821,1821,"[('2', 'Cmaj7'), ('2', 'Dm7'), ('2', 'Em7'), ('4', 'Dm7'), ('4', 'G7'), ('2', 'Cmaj7'), ('2', 'Gbm7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Gbm7b5'), ('2', 'Fm7'), ('2', 'Cmaj7/E'), ('2', 'A7#9'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Dbm6'), ('2', 'G7')]","[65.0, 62.0, 63.0, 63.0, 63.0, 63.0, 61.0, 67.0, 68.0, 63.0, 63.0, 63.0, 62.0, 60.0, 58.0, 53.0, 58.0]"
1822,1822,"[('2', 'Cmaj7'), ('4', 'Dm7'), ('4', 'Edim'), ('1', 'Em7'), ('2', 'Cmaj7'), ('4', 'B7'), ('4', 'Bm7'), ('1', 'A7'), ('1', 'Dm7'), ('1', 'G7')]","[65.0, 67.0, 67.0, 65.0, 62.0, 58.0, 57.0, 58.0, 56.0, 58.0]"
1823,1823,"[('2', 'Cmaj7'), ('4', 'Dm7'), ('4', 'Edim'), ('1', 'Em7'), ('2', 'Cmaj7'), ('4', 'B7'), ('4', 'Bm7'), ('1', 'A7'), ('1', 'Dm7'), ('1', 'G7')]","[65.0, 65.0, 69.0, 72.0, 77.0, 70.0, 69.0, 68.0, 67.0, 68.0]"
1824,1824,"[('1', 'Fmaj7'), ('1', 'Bm7'), ('1', 'Cmaj7'), ('1', 'C7'), ('1', 'Fmaj7'), ('2', 'Gbm7b5'), ('2', 'B7b9'), ('2', 'Em7'), ('2', 'Edim7'), ('2', 'Dm7'), ('2', 'G7')]","[65.0, 67.0, 68.0, 70.0, 71.0, 73.0, 68.0, 65.0, 68.0, 72.0, 76.0]"
1825,1825,"[('2', 'Cmaj7'), ('4', 'Dm7'), ('4', 'Edim'), ('1', 'Em7'), ('2', 'Cmaj7'), ('4', 'B7'), ('4', 'Bm7'), ('1', 'A7'), ('1', 'Dm7'), ('1', 'G7'), ('1', 'C6'), ('1', 'G7')]","[65.0, 60.0, 62.0, 64.0, 72.0, 67.0, 70.0, 68.0, 70.0, 71.0, 72.0, 70.0]"
1826,1826,"[('1', 'Cmaj7'), ('1', 'Bm9'), ('1', 'C7'), ('2', 'Fmaj7'), ('2', 'Fm6'), ('2', 'Cmaj7'), ('2', 'Am7'), ('1', 'D9')]","[65.0, 65.0, 65.0, 65.0, 65.0, 70.0, 65.0, 62.0]"
1827,1827,"[('1', 'Cmaj7'), ('1', 'Bm9'), ('1', 'C7'), ('2', 'Fmaj7'), ('2', 'Fm6'), ('2', 'Cmaj7'), ('2', 'Am7'), ('1', 'D9')]","[65.0, 68.0, 72.0, 75.0, 72.0, 68.0, 65.0, 67.0]"
1828,1828,"[('2', 'Em7'), ('2', 'Em7/D'), ('2', 'Dbm7b5'), ('2', 'Cm6'), ('2', 'Em7'), ('2', 'Em7/D'), ('2', 'C9'), ('2', 'B7b9'), ('2', 'Em7'), ('2', 'Em7/D'), ('2', 'Dbm7b5'), ('2', 'A9'), ('1', 'D9'), ('1', 'G7')]","[65.0, 62.0, 67.0, 55.0, 59.0, 64.0, 68.0, 66.0, 63.0, 61.0, 64.0, 69.0, 64.0, 65.0]"
1829,1829,"[('1', 'Cmaj7'), ('1', 'Bm9'), ('1', 'C7'), ('2', 'Fmaj7'), ('2', 'Fm6'), ('2', 'Cmaj7'), ('2', 'Am7'), ('1', 'D9'), ('1', 'G9'), ('2', 'C69'), ('2', 'G7sus')]","[65.0, 60.0, 65.0, 60.0, 64.0, 67.0, 64.0, 63.0, 62.0, 64.0, 65.0]"
1830,1830,"[('1', 'Dm7'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cmaj7'), ('2', 'Em7'), ('2', 'Edim7'), ('1', 'Dm7b5'), ('1', 'G7b9')]","[65.0, 62.0, 59.0, 60.0, 62.0, 65.0, 62.0, 60.0]"
1831,1831,"[('1', 'Dm7'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cmaj7'), ('2', 'Em7'), ('2', 'Edim7'), ('1', 'Dm7b5'), ('1', 'G7b9')]","[65.0, 69.0, 68.0, 69.0, 77.0, 75.0, 74.0, 77.0]"
1832,1832,"[('1', 'Fmaj7'), ('1', 'Bm7#11'), ('2', 'Cmaj7'), ('2', 'Dm7'), ('2', 'Em7'), ('2', 'B7'), ('1', 'Em7'), ('2', 'Gbm7b5'), ('2', 'B7b9'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Ebm7'), ('2', 'Am7')]","[65.0, 69.0, 70.0, 72.0, 69.0, 65.0, 62.0, 63.0, 65.0, 68.0, 69.0, 65.0, 66.0]"
1833,1833,"[('1', 'Dm7'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Em7b5'), ('1', 'A7b13'), ('1', 'Dm7'), ('1', 'G7'), ('1', 'C6'), ('1', 'A7b9')]","[65.0, 67.0, 67.0, 67.0, 67.0, 66.0, 65.0, 64.0, 63.0]"
1834,1834,"[('1', 'Cmaj7'), ('1', 'F7'), ('2', 'Cmaj7'), ('2', 'F7'), ('2', 'Em7'), ('2', 'A7'), ('1', 'Dm7'), ('1', 'G7')]","[65.0, 65.0, 65.0, 68.0, 73.0, 71.0, 72.0, 71.0]"
1835,1835,"[('1', 'Cmaj7'), ('1', 'F7'), ('2', 'Cmaj7'), ('2', 'F7'), ('2', 'Em7'), ('2', 'A7'), ('1', 'Dm7'), ('1', 'G7')]","[65.0, 67.0, 68.0, 65.0, 61.0, 58.0, 54.0, 53.0]"
1836,1836,"[('1', 'Fmaj7'), ('1', 'Gbdim7'), ('1', 'Cmaj7'), ('2', 'Bm7b5'), ('2', 'E7b9'), ('1', 'Am7'), ('1', 'D7'), ('1', 'Dm7'), ('1', 'G7')]","[65.0, 60.0, 65.0, 64.0, 60.0, 62.0, 64.0, 55.0, 55.0]"
1837,1837,"[('1', 'Cmaj7'), ('1', 'F7'), ('2', 'Cmaj7'), ('2', 'F7'), ('2', 'Em7'), ('2', 'A7'), ('1', 'Dm7'), ('1', 'G7'), ('2', 'C6'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7')]","[65.0, 62.0, 65.0, 60.0, 49.0, 53.0, 44.0, 51.0, 55.0, 58.0, 53.0, 64.0]"
1838,1838,"[('2', 'Cmaj7'), ('2', 'G7#5'), ('2', 'Cmaj7'), ('2', 'Bb7'), ('2', 'A7'), ('2', 'Em7'), ('1', 'A7'), ('2', 'D7'), ('2', 'Am7'), ('2', 'D7'), ('2', 'Am7'), ('2', 'D7'), ('2', 'Am7'), ('1', 'D7')]","[65.0, 69.0, 70.0, 68.0, 65.0, 60.0, 71.0, 67.0, 69.0, 73.0, 70.0, 73.0, 70.0, 72.0]"
1839,1839,"[('1', 'G7'), ('2', 'Bm7b5'), ('2', 'E7b9'), ('2', 'Am7'), ('2', 'E7b9'), ('2', 'Am7'), ('2', 'Em7#11'), ('2', 'D7'), ('2', 'Am7'), ('1', 'D7'), ('1', 'Dm7'), ('2', 'G7'), ('2', 'G7#5')]","[65.0, 67.0, 60.0, 60.0, 63.0, 67.0, 66.0, 65.0, 68.0, 65.0, 70.0, 68.0, 65.0]"
1840,1840,"[('2', 'Cmaj7'), ('2', 'G7#5'), ('2', 'Cmaj7'), ('2', 'Bb7'), ('2', 'A7'), ('2', 'Em7'), ('1', 'A7'), ('2', 'D7'), ('2', 'Am7'), ('2', 'D7'), ('2', 'Am7'), ('2', 'D7'), ('2', 'Am7'), ('2', 'D7'), ('4', 'Gm7'), ('4', 'C7')]","[65.0, 64.0, 63.0, 61.0, 60.0, 61.0, 60.0, 69.0, 65.0, 61.0, 60.0, 58.0, 61.0, 63.0, 66.0, 64.0]"
1841,1841,"[('1', 'Fmaj7'), ('1', 'Bb7'), ('2', 'Cmaj7'), ('2', 'E7b9'), ('2', 'Am7'), ('2', 'Edim7'), ('2', 'G7/D'), ('2', 'Ddim7'), ('2', 'G7/D'), ('2', 'G7'), ('2', 'C6'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'G7')]","[65.0, 69.0, 67.0, 70.0, 68.0, 65.0, 62.0, 58.0, 62.0, 66.0, 56.0, 66.0, 67.0, 64.0]"
1842,1842,"[('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Cmaj7'), ('2', 'Gm7'), ('2', 'C7'), ('1', 'Fmaj7'), ('1', 'Bm7')]","[65.0, 68.0, 65.0, 68.0, 63.0, 68.0, 67.0, 65.0, 62.0, 59.0, 57.0, 55.0, 57.0, 58.0, 60.0, 63.0, 65.0]"
1843,1843,"[('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Cmaj7'), ('2', 'Gm7'), ('2', 'C7'), ('1', 'Fmaj7'), ('1', 'Bm7')]","[65.0, 67.0, 63.0, 62.0, 63.0, 63.0, 63.0, 63.0, 60.0, 65.0, 60.0, 64.0, 61.0, 56.0, 54.0, 51.0, 54.0]"
1844,1844,"[('1', 'Abmaj7'), ('1', 'Abmaj7'), ('1', 'Ebm7'), ('1', 'Am7'), ('1', 'Dbmaj7'), ('1', 'Dbmaj7'), ('1', 'Abm7'), ('1', 'Dm7'), ('1', 'B6'), ('1', 'B7'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('2', 'Bm7'), ('2', 'E7'), ('2', 'Am7'), ('2', 'D7'), ('1', 'Dm7')]","[65.0, 68.0, 67.0, 62.0, 67.0, 60.0, 63.0, 67.0, 66.0, 64.0, 65.0, 57.0, 58.0, 45.0, 49.0, 53.0, 52.0]"
1845,1845,"[('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Cmaj7'), ('2', 'Gm7'), ('2', 'C7'), ('1', 'Fmaj7'), ('1', 'Bm7')]","[65.0, 68.0, 65.0, 64.0, 55.0, 61.0, 56.0, 56.0, 58.0, 60.0, 62.0, 64.0, 65.0, 69.0, 63.0, 75.0, 76.0]"
1846,1846,"[('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Dm7'), ('2', 'Em7'), ('2', 'A7#9'), ('1', 'Dm7'), ('2', 'Bm7b5'), ('2', 'E7b9')]","[65.0, 63.0, 65.0, 70.0, 67.0, 72.0, 68.0, 63.0, 58.0, 61.0, 65.0, 68.0, 69.0, 72.0, 70.0]"
1847,1847,"[('1', 'Am7'), ('2', 'Am7'), ('2', 'G7'), ('2', 'Gbm7b5'), ('2', 'B7b9'), ('2', 'Em7'), ('2', 'A7'), ('1', 'Am7'), ('1', 'D7'), ('1', 'Dm7'), ('1', 'G7')]","[65.0, 60.0, 55.0, 62.0, 63.0, 63.0, 65.0, 63.0, 60.0, 55.0, 60.0]"
1848,1848,"[('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Dm7'), ('2', 'Em7'), ('2', 'A7#9'), ('1', 'Dm7'), ('2', 'Bm7b5'), ('2', 'E7b9')]","[65.0, 69.0, 67.0, 64.0, 68.0, 71.0, 68.0, 72.0, 75.0, 72.0, 68.0, 68.0, 68.0, 68.0, 68.0]"
1849,1849,"[('1', 'Am7'), ('1', 'Am7'), ('2', 'Gm7b5'), ('2', 'C7b9'), ('2', 'Fmaj7'), ('2', 'Bm7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'C6'), ('2', 'Dm7'), ('2', 'G7')]","[65.0, 67.0, 67.0, 67.0, 68.0, 65.0, 67.0, 67.0, 67.0, 72.0, 71.0, 67.0, 65.0]"
1850,1850,"[('1', 'Fmaj7#11'), ('1', 'Fmaj7#11'), ('1', 'E9sus'), ('1', 'E9sus'), ('1', 'Dm6'), ('1', 'Dm6'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'Bbmaj7#11'), ('1', 'Bbmaj7#11')]","[65.0, 67.0, 70.0, 59.0, 60.0, 64.0, 60.0, 67.0, 73.0, 75.0]"
1851,1851,"[('1', 'Fmaj7#11'), ('1', 'Fmaj7#11'), ('1', 'E9sus'), ('1', 'E9sus'), ('1', 'Dm6'), ('1', 'Dm6'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'Bbmaj7#11'), ('1', 'Bbmaj7#11')]","[65.0, 67.0, 68.0, 71.0, 70.0, 68.0, 67.0, 66.0, 63.0, 61.0]"
1852,1852,"[('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'D9'), ('1', 'D9'), ('1', 'Dm7'), ('1', 'Abm7')]","[65.0, 63.0, 65.0, 67.0, 68.0, 71.0]"
1853,1853,"[('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'D9'), ('1', 'D9'), ('1', 'Dm7'), ('1', 'Abm7')]","[65.0, 67.0, 63.0, 65.0, 67.0, 70.0]"
1854,1854,"[('1', 'Emaj7'), ('1', 'Emaj7'), ('1', 'Em7'), ('1', 'A7'), ('1', 'Dmaj7'), ('1', 'Dmaj7'), ('1', 'Dm7'), ('1', 'Abm7')]","[65.0, 67.0, 66.0, 64.0, 61.0, 61.0, 62.0, 61.0]"
1855,1855,"[('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'D9'), ('1', 'D9'), ('1', 'Dm7'), ('1', 'Abm7'), ('1', 'Dbm6'), ('2', 'Db6'), ('2', 'B6'), ('1', 'Dbm6'), ('2', 'Db6'), ('2', 'B6'), ('1', 'Dbm6'), ('2', 'Dm7'), ('2', 'Abm7')]","[65.0, 67.0, 68.0, 69.0, 69.0, 66.0, 69.0, 69.0, 67.0, 69.0, 62.0, 69.0, 72.0, 69.0, 69.0]"
1856,1856,"[('2', 'Cm7'), ('2', 'Dm7/G'), ('2', 'Cm7'), ('2', 'Dm7/G'), ('2', 'Cm7'), ('2', 'Dm7/G'), ('2', 'Cm7'), ('2', 'Dm7/G'), ('2', 'Cm7'), ('2', 'Dm7/G'), ('2', 'Cm7'), ('2', 'Dm7/G'), ('2', 'Cm7'), ('2', 'Dm7/G'), ('2', 'Cm7'), ('2', 'Dm7/G')]","[65.0, 62.0, 63.0, 65.0, 63.0, 80.0, 82.0, 85.0, 83.0, 83.0, 84.0, 85.0, 84.0, 79.0, 81.0, 82.0]"
1857,1857,"[('2', 'Cm7'), ('2', 'Dm7/G'), ('2', 'Cm7'), ('2', 'Dm7/G'), ('2', 'Cm7'), ('2', 'Dm7/G'), ('2', 'Cm7'), ('2', 'Dm7/G'), ('2', 'Cm7'), ('2', 'Dm7/G'), ('2', 'Cm7'), ('2', 'Dm7/G'), ('2', 'Cm7'), ('2', 'Dm7/G'), ('2', 'Cm7'), ('2', 'Dm7/G')]","[65.0, 68.0, 64.0, 66.0, 68.0, 71.0, 67.0, 69.0, 65.0, 63.0, 60.0, 62.0, 60.0, 57.0, 58.0, 62.0]"
1858,1858,"[('1', 'Fm7'), ('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Fm7'), ('1', 'Cm7'), ('1', 'Fm7'), ('1', 'G7b13')]","[65.0, 69.0, 71.0, 74.0, 71.0, 72.0, 71.0, 70.0]"
1859,1859,"[('2', 'Cm7'), ('2', 'F7'), ('2', 'Cm7'), ('2', 'F7'), ('2', 'Cm7'), ('2', 'F7'), ('2', 'Cm7'), ('2', 'F7'), ('2', 'Cm7'), ('2', 'F7'), ('2', 'Cm7'), ('2', 'F7'), ('2', 'Cm7'), ('2', 'F7')]","[65.0, 72.0, 70.0, 68.0, 70.0, 71.0, 62.0, 67.0, 69.0, 71.0, 74.0, 79.0, 76.0, 77.0]"
1860,1860,[],[]
1861,1861,"[('2', 'Cm7'), ('2', 'Dm7/G'), ('2', 'Cm7'), ('2', 'Dm7/G'), ('2', 'Cm7'), ('2', 'Dm7/G'), ('2', 'Cm'), ('2', 'Bb'), ('2', 'Ab'), ('2', 'Gm'), ('2', 'Fm'), ('2', 'G7b13'), ('1', 'Cm')]","[65.0, 67.0, 63.0, 62.0, 60.0, 60.0, 60.0, 61.0, 72.0, 72.0, 72.0, 65.0, 72.0]"
1862,1862,"[('2', 'Cm7'), ('2', 'Dm7/G'), ('2', 'Cm7'), ('2', 'Dm7/G'), ('2', 'Cm7'), ('2', 'Dm7/G'), ('2', 'Cm7'), ('2', 'Dm7/G'), ('2', 'Cm7'), ('2', 'Dm7/G'), ('2', 'Cm7'), ('2', 'Dm7/G'), ('2', 'Cm7'), ('2', 'Dm7/G'), ('2', 'Cm7'), ('2', 'Dm7/G')]","[65.0, 62.0, 65.0, 62.0, 57.0, 55.0, 57.0, 59.0, 64.0, 66.0, 68.0, 69.0, 68.0, 69.0, 66.0, 63.0]"
1863,1863,"[('2', 'Cm7'), ('2', 'Dm7/G'), ('2', 'Cm7'), ('2', 'Dm7/G'), ('2', 'Cm7'), ('2', 'Dm7/G'), ('2', 'Cm7'), ('2', 'Dm7/G'), ('2', 'Cm7'), ('2', 'Dm7/G'), ('2', 'Cm7'), ('2', 'Dm7/G'), ('2', 'Cm7'), ('2', 'Dm7/G'), ('2', 'Cm7'), ('2', 'Dm7/G')]","[65.0, 69.0, 72.0, 70.0, 67.0, 62.0, 66.0, 64.0, 66.0, 69.0, 67.0, 65.0, 63.0, 61.0, 60.0, 57.0]"
1864,1864,"[('1', 'Fm7'), ('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Fm7'), ('1', 'Cm7'), ('1', 'Fm7'), ('1', 'G7b13')]","[65.0, 67.0, 72.0, 69.0, 68.0, 68.0, 67.0, 69.0]"
1865,1865,"[('2', 'Cm7'), ('2', 'F7'), ('2', 'Cm7'), ('2', 'F7'), ('2', 'Cm7'), ('2', 'F7'), ('2', 'Cm7'), ('2', 'F7'), ('2', 'Cm7'), ('2', 'F7'), ('2', 'Cm7'), ('2', 'F7'), ('2', 'Cm7'), ('2', 'F7')]","[65.0, 65.0, 64.0, 65.0, 68.0, 61.0, 68.0, 65.0, 62.0, 67.0, 64.0, 70.0, 69.0, 66.0]"
1866,1866,"[('2', 'Cm7'), ('2', 'Dm7/G'), ('2', 'Cm7'), ('2', 'Dm7/G'), ('2', 'Cm7'), ('2', 'Dm7/G'), ('2', 'Cm'), ('2', 'Bb'), ('2', 'Ab'), ('2', 'Gm'), ('2', 'Fm'), ('2', 'G7b13'), ('1', 'Cm')]","[65.0, 67.0, 65.0, 62.0, 58.0, 55.0, 57.0, 54.0, 63.0, 62.0, 61.0, 55.0, 56.0]"
1867,1867,"[('1', 'Ebm7'), ('1', 'Emaj7'), ('1', 'Dbm7'), ('2', 'Ebm7'), ('2', 'Cm7'), ('1', 'Am7'), ('1', 'Dbmaj7'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'G7b9')]","[65.0, 63.0, 65.0, 58.0, 60.0, 63.0, 60.0, 63.0, 58.0, 60.0]"
1868,1868,"[('1', 'Cm7'), ('1', 'Dm7'), ('1', 'Cm7'), ('2', 'Bbm7'), ('2', 'Eb7'), ('1', 'Abmaj7')]","[65.0, 67.0, 68.0, 67.0, 65.0, 69.0]"
1869,1869,"[('1', 'Cm7'), ('1', 'Dm7'), ('1', 'Cm7'), ('2', 'Bbm7'), ('2', 'Eb7'), ('1', 'Abmaj7')]","[65.0, 69.0, 69.0, 69.0, 69.0, 67.0]"
1870,1870,"[('1', 'Fm7'), ('1', 'Bb7'), ('2', 'Ebm7'), ('2', 'Am7'), ('1', 'Dbmaj7'), ('1', 'Fm7'), ('1', 'Bb7'), ('2', 'Ebm7'), ('2', 'Am7'), ('2', 'Dbmaj7'), ('2', 'G7b9')]","[65.0, 62.0, 57.0, 55.0, 56.0, 54.0, 56.0, 58.0, 56.0, 53.0, 51.0]"
1871,1871,"[('1', 'Cm7'), ('1', 'Dm7'), ('1', 'Cm7'), ('2', 'Bbm7'), ('2', 'Eb7'), ('1', 'Abmaj7'), ('1', 'G7b13'), ('1', 'Cm7'), ('1', 'Dm7')]","[65.0, 67.0, 65.0, 45.0, 49.0, 50.0, 55.0, 58.0, 63.0]"
1872,1872,"[('1', 'Cmaj7'), ('1', 'Cmaj7'), ('2', 'Ebm7'), ('2', 'Ab7'), ('2', 'Dm7'), ('2', 'Abm7'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('2', 'Gm7'), ('2', 'Dbm7'), ('2', 'Gbm7'), ('2', 'B7')]","[65.0, 67.0, 70.0, 73.0, 71.0, 69.0, 67.0, 70.0, 75.0, 77.0, 77.0, 75.0]"
1873,1873,"[('1', 'Em7'), ('1', 'Am7'), ('1', 'Dm7'), ('1', 'Abm7'), ('1', 'Cmaj7'), ('1', 'Am7'), ('1', 'Ebm7#11'), ('1', 'Abm7')]","[65.0, 65.0, 66.0, 65.0, 64.0, 62.0, 63.0, 67.0]"
1874,1874,"[('1', 'Cmaj7'), ('1', 'Cmaj7'), ('2', 'Ebm7'), ('2', 'Ab7'), ('2', 'Dm7'), ('2', 'Abm7'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('2', 'Gm7'), ('2', 'Dbm7'), ('2', 'Gbm7'), ('2', 'B7')]","[65.0, 67.0, 64.0, 63.0, 65.0, 67.0, 65.0, 63.0, 62.0, 61.0, 60.0, 58.0]"
1875,1875,"[('1', 'Em7'), ('1', 'Am7'), ('1', 'Ebm7#11'), ('2', 'Fm7'), ('2', 'Bb7'), ('2', 'Em7'), ('2', 'Bbm7')]","[65.0, 64.0, 68.0, 67.0, 65.0, 64.0, 62.0]"
1876,1876,"[('2', 'Cmaj7'), ('2', 'Am7')]","[65.0, 64.0]"
1877,1877,"[('1', 'Cmaj7'), ('1', 'Cmaj7'), ('2', 'Ebm7'), ('2', 'Ab7'), ('2', 'Dm7'), ('2', 'Abm7'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('2', 'Gm7'), ('2', 'Dbm7'), ('2', 'Gbm7'), ('2', 'B7')]","[65.0, 63.0, 62.0, 61.0, 60.0, 56.0, 55.0, 54.0, 53.0, 55.0, 56.0, 58.0]"
