,OTL,COM,ODT,meta,parts,chords
633,All My Tomorrows,"van Heusen, Jimmy",1960,"['OTL: All My Tomorrows', 'COM: van Heusen, Jimmy', 'ODT: 1960']","['A', 'A2', 'B', 'A3']","[{'meta': ['*>A\n', '*M4/4\n', '*G:\n'], 'bars': [['A:min7'], ['C:min6', 'F7'], ['B:min7'], ['B-o7(B-:min7)', 'B-o7(E-7)'], ['A:min7'], ['B:min7', 'E7b9'], ['A:min7', 'D7b9'], ['B:min7', 'E7b9']]}, {'meta': ['*>A2\n'], 'bars': [['A:min7'], ['C:min6', 'F7'], ['B:min7'], ['B-o7(B-:min7)', 'B-o7(E-7)'], ['A:min7'], ['B:min7', 'E7b9'], ['A:min7', 'D7b9'], ['D:min7', 'G7']]}, {'meta': ['*>B\n'], 'bars': [['C:maj7'], ['C:min7', 'F7'], ['B:min7', 'E7'], ['F#h7', 'B7b9'], ['E:min7'], ['A:min7', 'D7'], ['Bh7', 'E7b9'], ['A:min7', 'B:min7', 'E7']]}, {'meta': ['*>A3\n'], 'bars': [['A:min7'], ['C:min6', 'F7'], ['B:min7'], ['B-o7(B-:min7)', 'B-o7(E-7)'], ['A:min7'], ['B:min7', 'E7b9'], ['A:min7', 'D7b9'], ['B:min7', 'E7b9'], ['A:min7'], ['C:min6', 'D7'], ['G6'], ['B:min7', 'E7b9']]}]"
634,So What,"Davis, Miles",1959,"['OTL: So What', 'COM: Davis, Miles', 'ODT: 1959']","['A', 'A2', 'B', 'A3']","[{'meta': ['*>A\n', '*M4/4\n', '*d:\n'], 'bars': [['D:min11'], ['D:min11'], ['D:min11'], ['D:min11'], ['D:min11'], ['D:min11'], ['D:min11'], ['D:min11']]}, {'meta': ['*>A2\n'], 'bars': [['D:min11'], ['D:min11'], ['D:min11'], ['D:min11'], ['D:min11'], ['D:min11'], ['D:min11'], ['D:min11']]}, {'meta': ['*>B\n'], 'bars': [['E-:min11'], ['E-:min11'], ['E-:min11'], ['E-:min11'], ['E-:min11'], ['E-:min11'], ['E-:min11'], ['E-:min11']]}, {'meta': ['*>A3\n'], 'bars': [['D:min11'], ['D:min11'], ['D:min11'], ['D:min11'], ['D:min11'], ['D:min11'], ['D:min11'], ['D:min11']]}]"
635,Bessie's Blues,"Coltrane, John",1964,"[""OTL: Bessie's Blues"", 'COM: Coltrane, John', 'ODT: 1964']",['/'],[]
636,Fascinating Rhythm,"Gershwin, George",1924,"['OTL: Fascinating Rhythm', 'COM: Gershwin, George', 'ODT: 1924']","['Verse', 'A', 'N1', 'B', 'A', 'N2', 'C']","[{'meta': ['*>Verse\n', '*M4/4\n', '*F:\n'], 'bars': [['F:min', 'F:min/E-'], ['Dh7', 'D-7'], ['F:min/C', 'Bo7'], ['B-7', 'F:min/A-', 'C7/G'], ['F:min/A-', 'C7/G'], ['F:min', 'F:min/E-'], ['Dh7', 'D-7'], ['F:min/C', 'C7b13'], ['F6'], ['C:min', 'C:min/B-'], ['Ah7', 'A-7'], ['C:min/G', 'F#o7'], ['F7', 'C:min/E-', 'G7/D'], ['C:min/E-', 'G7/D'], ['C:min', 'C:min/B-'], ['Ah7', 'F:min/A-'], ['G7'], ['C7']]}, {'meta': ['*>A\n'], 'bars': [['C7'], ['C7'], ['C7'], ['C7'], ['F7(C:min7)', 'F7(F7)'], ['F7'], ['F7'], ['F7']]}, {'meta': ['*>N1\n'], 'bars': []}, {'meta': ['*>B\n'], 'bars': [['B-6'], ['G:min7', 'C7'], ['F6'], ['Eh7', 'A7b9'], ['D:min7'], ['G7'], ['G:min7'], ['C7']]}, {'meta': ['*>N2\n'], 'bars': []}, {'meta': ['*>C\n'], 'bars': [['B-6'], ['Eh7', 'A7b9'], ['D:min7'], ['G7'], ['G:min7(G:min7)', 'G:min7(C7)'], ['C7(G:min7)', 'C7(C7)'], ['F6'], ['F6']]}]"
637,Blue Sphere,"Monk, Thelonious",1971,"['OTL: Blue Sphere', 'COM: Monk, Thelonious', 'ODT: 1971']",['/'],[]
638,Them There Eyes," Tracey, William",1930,"['OTL: Them There Eyes', 'COM1: Pinkard, Maceo', 'COM2: Tauber, Doris', 'COM3: Tracey, William', 'ODT: 1930']","['A', 'B', 'A2', 'C']","[{'meta': ['*>A\n', '*M4/4\n', '*A-:\n'], 'bars': [['A-:maj7'], ['A-:maj7'], ['A-:maj7'], ['A-:maj7'], ['A-6'], ['F7'], ['B-7'], ['B-7']]}, {'meta': ['*>B\n'], 'bars': [['B-:min7'], ['E-7'], ['C7'], ['F:min7'], ['B-7'], ['B-7'], ['E-7'], ['E-7']]}, {'meta': ['*>A2\n'], 'bars': [['A-:maj7'], ['A-:maj7'], ['A-:maj7'], ['A-:maj7'], ['A-7'], ['A-7'], ['D-:maj7'], ['D-:maj7']]}, {'meta': ['*>C\n'], 'bars': [['D-:maj7'], ['Do7'], ['A-:maj7/E-'], ['B-7', 'E-7'], ['A-:maj7'], ['F7'], ['B-7', 'E-7'], ['A-6', 'E-7']]}]"
639,Joy Spring,"Brown, Clifford",1955,"['OTL: Joy Spring', 'COM: Brown, Clifford', 'ODT: 1955']","['A', 'B', 'C', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*F:\n'], 'bars': [['F:maj7'], ['G:min7', 'C7'], ['F:maj7'], ['B-:min7', 'E-7'], ['A:min7', 'A-7'], ['G:min7', 'C7'], ['F:maj7'], ['A-:min7', 'D-7']]}, {'meta': ['*>B\n'], 'bars': [['G-:maj7'], ['A-:min7', 'D-7'], ['G-:maj7'], ['B:min7', 'E7'], ['B-:min7', 'A7'], ['A-:min7', 'D-7'], ['G-:maj7'], ['A:min7', 'D7']]}, {'meta': ['*>C\n'], 'bars': [['G:maj7'], ['G:min7', 'C7'], ['F:maj7'], ['F:min7', 'B-7'], ['E-:maj7'], ['A-:min7', 'D-7'], ['G-:maj7'], ['G:min7', 'C7']]}, {'meta': ['*>A2\n'], 'bars': [['F:maj7'], ['G:min7', 'C7'], ['F:maj7'], ['B-:min7', 'E-7'], ['A:min7', 'A-7'], ['G:min7', 'C7'], ['F:maj7'], ['G:min7', 'C7']]}]"
640,Deed I Do,"Rose, Fred",1926,"['OTL: Deed I Do', 'COM: Rose, Fred', 'LYR: Hirsch, Walter', 'ODT: 1926']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n'], 'bars': [['C6'], ['G:min7', 'C7'], ['F:maj7'], ['B-7'], ['E:min7', 'A7'], ['D:min7', 'G7']]}, {'meta': ['*>N1\n'], 'bars': [['C6', 'A:min7'], ['D:min7', 'G7']]}, {'meta': ['*>N2\n'], 'bars': [['C6'], ['G:min7', 'C7']]}, {'meta': ['*>B\n'], 'bars': [['F:maj7'], ['F:maj7'], ['B:min7'], ['E7'], ['A7'], ['A7'], ['D7'], ['D:min7', 'G7']]}, {'meta': ['*>A2\n'], 'bars': [['C6'], ['G:min7', 'C7'], ['F:maj7'], ['B-7'], ['E:min7', 'A7'], ['D:min7', 'G7'], ['C6'], ['D:min7', 'G7']]}]"
641,Violets For Your Furs," Adair, Tom",1941,"['OTL: Violets For Your Furs', 'COM1: Dennis, Matt', 'COM2: Adair, Tom', 'ODT: 1941']","['A', 'B', 'A2', 'C']","[{'meta': ['*>A\n', '*M4/4\n', '*F:\n'], 'bars': [['G:min7', 'C7'], ['F:maj7'], ['B-:min7', 'E-7'], ['F:maj7', 'D7b9'], ['G:min7', 'C7'], ['F:maj7'], ['A:min7', 'D7b9'], ['G:min7', 'D7b9#5']]}, {'meta': ['*>B\n'], 'bars': [['G:min7', 'C7'], ['F:maj7', 'D7b9'], ['G:min7', 'C7'], ['F:maj7', 'D7b9'], ['G:min7', 'C7'], ['F:maj7', 'D7'], ['G7'], ['G:min7', 'C7']]}, {'meta': ['*>A2\n'], 'bars': [['G:min7', 'C7'], ['F:maj7'], ['B-:min7', 'E-7'], ['F:maj7', 'D7b9'], ['G:min7', 'C7'], ['F:maj7'], ['A:min7', 'D7b9'], ['G:min7']]}, {'meta': ['*>C\n'], 'bars': [['B-:maj7'], ['E-7'], ['F:maj7', 'E-7'], ['D7'], ['D-7', 'C7#5'], ['F6', 'D7'], ['G:min7', 'C7'], ['F6', 'D7b9']]}]"
642,"Masquerade Is Over, The","Wrubel, Allie",1938,"['OTL: Masquerade Is Over, The', 'COM: Wrubel, Allie', 'ODT: 1938']","['A', 'N1', 'A', 'N2', 'B', 'A', 'N3']","[{'meta': ['*>A\n', '*M4/4\n', '*f:\n'], 'bars': [['E-:maj7'], ['Dh7', 'G7b9'], ['C:min7', 'F7'], ['B-:min7', 'E-7'], ['A-:maj7', 'A-:maj7(Ah7)', 'A-:maj7(D7)'], ['G:min7', 'C7b9'], ['F7'], ['F:min7', 'B-7'], ['E-:maj7'], ['B-:min7', 'E-7'], ['A-:maj7'], ['D-7']]}, {'meta': ['*>N1\n'], 'bars': [['G:min7'], ['C7'], ['F:min7'], ['B-7']]}, {'meta': ['*>N2\n'], 'bars': [['G:min7', 'C7'], ['F:min7', 'B-7'], ['E-6', 'D-7'], ['E-6', 'C7']]}, {'meta': ['*>B\n'], 'bars': [['F:min7', 'B-7'], ['G:min7', 'C7'], ['F:min7', 'B-7'], ['E-:maj7'], ['Ah7', 'D7b9'], ['G:min7', 'C7'], ['C:min7', '! D.C. al 3rd Ending', 'F7']]}, {'meta': ['*>N3\n'], 'bars': [['G:min7', 'C7'], ['F:min7', 'B-7sus'], ['E-6'], ['F:min7', 'B-7']]}]"
643,Nutville,"Silver, Horace",1965,"['OTL: Nutville', 'COM: Silver, Horace', 'ODT: 1965']","['A', 'B', 'ToCod', 'A', 'B', 'Coda']","[{'meta': ['*>A\n', '*M4/4\n', '*c:\n'], 'bars': [['C:min7'], ['C:min7'], ['C:min7'], ['C:min7'], ['C:min7'], ['C:min7'], ['C:min7'], ['C:min7'], ['F:min7'], ['F:min7'], ['F:min7'], ['D-7'], ['C:min7'], ['C:min7'], ['C:min7'], ['C:min7']]}, {'meta': ['*>B\n'], 'bars': [['A-7'], ['G7'], ['G-7'], ['F7'], ['A-7'], ['G7b13'], ['C:min7'], ['C:min7']]}, {'meta': ['*>ToCod\n'], 'bars': []}, {'meta': ['*>Coda\n'], 'bars': [['C:min7'], ['C:min7', 'B-:min'], ['A-:min7'], ['G7#9'], ['C:min7']]}]"
644,Parker's Mood,"Parker, Charlie",1948,"[""OTL: Parker's Mood"", 'COM: Parker, Charlie', 'ODT: 1948']",['/'],[]
645,If I Had You," Shapiro, Ted",1928,"['OTL: If I Had You', 'COM1: Campbell, James', 'COM2: Connelly, Reginald', 'COM3: Shapiro, Ted', 'ODT: 1928']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*B-:\n'], 'bars': [['B-:maj7'], ['B-7'], ['E-:maj7'], ['E-:min6'], ['B-:maj7', 'D-o7'], ['C:min7', 'F7']]}, {'meta': ['*>N1\n'], 'bars': [['B-:maj7', 'D-o7'], ['C:min7', 'F7']]}, {'meta': ['*>N2\n'], 'bars': [['B-6'], ['Eh7', 'A7b9']]}, {'meta': ['*>B\n'], 'bars': [['D:min7'], ['Eh7', 'A7b9'], ['D:min7'], ['Eh7', 'A7b9'], ['D:min7', 'Bh7'], ['Eh7', 'A7b9'], ['D:min7', 'G7'], ['C:min7', 'F7']]}, {'meta': ['*>A2\n'], 'bars': [['B-:maj7'], ['B-7'], ['E-:maj7'], ['E-:min6'], ['B-:maj7', 'D-o7'], ['C:min7', 'F7'], ['B-:maj7', 'D-o7'], ['C:min7', 'F7']]}]"
646,Thriving From A Riff,"Parker, Charlie",1945,"['OTL: Thriving From A Riff', 'COM: Parker, Charlie', 'ODT: 1945']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*B-:\n'], 'bars': [['B-:maj7', 'G7'], ['C:min7', 'F7'], ['D:min7', 'G7'], ['C:min7', 'F7'], ['B-:maj7', 'B-7'], ['E-7', 'A-7']]}, {'meta': ['*>N1\n'], 'bars': [['D:min7', 'G7'], ['C:min7', 'F7']]}, {'meta': ['*>N2\n'], 'bars': [['C:min7', 'F7'], ['B-6']]}, {'meta': ['*>B\n'], 'bars': [['D7'], ['D7'], ['G7'], ['G7'], ['C7'], ['C7'], ['F7'], ['F7']]}, {'meta': ['*>A2\n'], 'bars': [['B-:maj7', 'G7'], ['C:min7', 'F7'], ['D:min7', 'G7'], ['C:min7', 'F7'], ['B-:maj7', 'B-7'], ['E-7', 'A-7'], ['C:min7', 'F7'], ['B-6']]}]"
647,Poinciana,"Simon, Nat",1936,"['OTL: Poinciana', 'COM: Simon, Nat', 'ODT: 1936']","['Intro', 'Intro', 'A', 'A', 'B', 'A2']","[{'meta': ['*>Intro\n', '*M4/4\n', '*D:\n'], 'bars': [['A7sus'], ['A7sus'], ['A7sus'], ['A7sus'], ['A7sus'], ['A7sus'], ['D6'], ['D6']]}, {'meta': ['*>A\n'], 'bars': [['D6'], ['D6'], ['A:min/D'], ['A:min/D'], ['G:min7'], ['Eh7', 'A7b9'], ['D6'], ['D6']]}, {'meta': ['*>B\n'], 'bars': [['G:min7'], ['G:min7'], ['A:maj7'], ['A:maj7'], ['G:min7'], ['G:min7'], ['A7sus'], ['A7sus']]}, {'meta': ['*>A2\n'], 'bars': [['D6'], ['D6'], ['A:min/D'], ['A:min/D'], ['G:min7'], ['Eh7', 'A7b9'], ['D6'], ['A7sus']]}]"
648,Let There Be Love,"Rand, Lionel",1940,"['OTL: Let There Be Love', 'COM: Rand, Lionel', 'LYR: Grant, Ian', 'ODT: 1940']","['A', 'B', 'A2', 'C']","[{'meta': ['*>A\n', '*M4/4\n', '*E-:\n'], 'bars': [['E-:maj7'], ['A-:maj7'], ['Gh7'], ['C7'], ['Fh7'], ['B-7'], ['E-:maj7', 'A-7'], ['G:min7', 'F#o7']]}, {'meta': ['*>B\n'], 'bars': [['F:min7'], ['B-7'], ['E-:maj7', 'A-7'], ['G:min7', 'F#o7'], ['F:min7'], ['B-7'], ['G:min7', 'C7b9'], ['F:min7', 'B-7']]}, {'meta': ['*>A2\n'], 'bars': [['E-:maj7'], ['A-:maj7'], ['Gh7'], ['C7'], ['Fh7'], ['B-7'], ['E-:maj7'], ['F:min7', 'B-7']]}, {'meta': ['*>C\n'], 'bars': [['E-:maj7'], ['G:min7'], ['C9'], ['C9'], ['F:min7'], ['B-7'], ['E-6'], ['F:min7', 'B-7']]}]"
649,Mac The Knife,"Weill, Kurt",1928,"['OTL: Mac The Knife', 'COM: Weill, Kurt', 'ODT: 1928']",['A'],"[{'meta': ['*>A\n', '*M4/4\n', '*B-:\n'], 'bars': [['B-6'], ['B-6'], ['C:min7'], ['C:min7'], ['F7'], ['F7'], ['B-6'], ['B-6'], ['G:min7'], ['G:min7'], ['C:min7'], ['C:min7'], ['C:min7'], ['C:min7', 'F7'], ['B-6'], ['B-6']]}]"
650,Solitude,"Ellington, Duke",1934,"['OTL: Solitude', 'COM: Ellington, Duke', 'ODT: 1934']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*E-:\n'], 'bars': [['E-:maj7'], ['E-:maj7', 'E-7'], ['A-:maj7'], ['D-7#11'], ['F:min7'], ['B-7']]}, {'meta': ['*>N1\n'], 'bars': [['E-:maj7'], ['F7', 'B-7']]}, {'meta': ['*>N2\n'], 'bars': [['E-:maj7'], ['B-:min7', 'E-7']]}, {'meta': ['*>B\n'], 'bars': [['A-6'], ['Ao7'], ['E-6/B-'], ['E-7'], ['A-6'], ['Ao7'], ['E-6/B-', 'C7b9'], ['F:min7', 'B-7']]}, {'meta': ['*>A2\n'], 'bars': [['E-:maj7'], ['E-:maj7', 'E-7'], ['A-:maj7'], ['D-7#11'], ['F:min7'], ['B-7'], ['E-:maj7', 'Eo7'], ['F:min7', 'B-7']]}]"
651,Darn That Dream,"van Heusen, Jimmy",1939,"['OTL: Darn That Dream', 'COM: van Heusen, Jimmy', 'ODT: 1939']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*G:\n'], 'bars': [['G6', 'B-:min7', 'E-7'], ['A:min7', 'B7#11'], ['E:min', 'E:min/D', 'A7/C#', 'C:min7'], ['Bh7', 'E7'], ['A:min7', 'F7'], ['B:min7', 'B-:min7'], ['A:min7', 'D7']]}, {'meta': ['*>N1\n'], 'bars': [['B:min7', 'B-7', 'A:min7', 'D7']]}, {'meta': ['*>N2\n'], 'bars': [['G6', 'F:min7', 'B-7']]}, {'meta': ['*>B\n'], 'bars': [['E-:maj7', 'C:min7'], ['F:min7', 'B-7'], ['G:min7', 'F#:min7', 'B7'], ['F:min7', 'B-7'], ['E-:maj7', 'C:min7'], ['G:min(Ah)', 'G:min(D7)', 'G:min'], ['A:min7', 'D7'], ['B-:min7', 'E-7', 'A:min7', 'D7']]}, {'meta': ['*>A2\n'], 'bars': [['G6', 'B-:min7', 'E-7'], ['A:min7', 'B7#11'], ['E:min', 'E:min/D', 'A7/C#', 'C:min7'], ['Bh7', 'E7'], ['A:min7', 'F7'], ['B:min7', 'B-:min7'], ['A:min7', 'D7'], ['G6', 'A:min7', 'D7']]}]"
652,"Lady is a Tramp, The","Rodgers, Richard",1937,"['OTL: Lady is a Tramp, The', 'COM: Rodgers, Richard', 'ODT: 1937']","['A', 'N1', 'A', 'N2', 'B', 'C']","[{'meta': ['*>A\n', '*M4/4\n', '*C:\n'], 'bars': [['C:maj7'], ['E-7'], ['D:min7'], ['G7'], ['C:maj7'], ['E-7'], ['D:min7'], ['G7'], ['C7sus'], ['G:min7', 'C7'], ['F:maj7'], ['B-7sus', 'B-7'], ['E:min7', 'A7'], ['D:min7', 'G7']]}, {'meta': ['*>N1\n'], 'bars': [['C6', 'A7'], ['D:min7', 'G7']]}, {'meta': ['*>N2\n'], 'bars': [['C6'], ['C6']]}, {'meta': ['*>B\n'], 'bars': [['D:min7'], ['G7'], ['E:min7'], ['A7'], ['D:min7'], ['G7'], ['E:min7', 'A7'], ['D:min7', 'G7']]}, {'meta': ['*>C\n'], 'bars': [['C:maj7'], ['E-7'], ['D:min7'], ['Bh7', 'E7b9'], ['A:min7'], ['D:min7', 'G7'], ['C6'], ['C6']]}]"
653,Here's To Life,"Butler, Artie",1990,"[""OTL: Here's To Life"", 'COM: Butler, Artie', 'ODT: 1990']","['A', 'N1', 'N2', 'B', 'C']","[{'meta': ['*>A\n', '*M4/4\n', '*b:\n'], 'bars': [['E:min', 'E:min7'], ['A-7sus', 'A-9'], ['D-:maj7'], ['G-:maj9'], ['Ch7'], ['F7b9#5']]}, {'meta': ['*>N1\n'], 'bars': [['B-:min7'], ['B-:min7']]}, {'meta': ['*>N2\n'], 'bars': [['B-:maj7'], ['B-:maj7']]}, {'meta': ['*>B\n'], 'bars': [['G-:maj7'], ['Ch7/G-'], ['B-:maj7'], ['B-7/A-'], ['G-:maj7'], ['Ch7/G-'], ['B-7sus'], ['B-7sus']]}, {'meta': ['*>C\n'], 'bars': [['G-:maj7'], ['A-9/G-'], ['Ao7'], ['B-:min7'], ['E-:min7'], ['A-7sus', 'A-9'], ['B-:min7'], ['B-:min7/A-'], ['G-:maj7'], ['A-9/G-'], ['Ao7'], ['A-:min7', 'G7b5'], ['G-:maj7'], ['A-9/G-'], ['Ao7'], ['B-:min7'], ['E-:min7'], ['A-7sus'], ['B-:min9'], ['B-:min9;']]}]"
654,Grand Central,"Coltrane, John",1959,"['OTL: Grand Central', 'COM: Coltrane, John', 'ODT: 1959']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*b-:\n'], 'bars': [['F:min7'], ['B-:min7', 'E-7'], ['A-:min7', 'D-7'], ['F#:min7', 'B7'], ['B-:min7'], ['B7#11']]}, {'meta': ['*>N1\n'], 'bars': [['B-:min7'], ['B7#11']]}, {'meta': ['*>N2\n'], 'bars': [['B-:min7'], ['B-:min7']]}, {'meta': ['*>B\n'], 'bars': [['F#:min7', 'B7'], ['F#:min7', 'B7'], ['F#:min7', 'B7'], ['F#:min7', 'B7'], ['F#:min7', 'B7'], ['F#:min7', 'B7'], ['B-:min7', 'E7'], ['A:maj7(A:min7)', 'C7']]}, {'meta': ['*>A2\n'], 'bars': [['F:min7'], ['B-:min7', 'E-7'], ['A-:min7', 'D-7'], ['F#:min7', 'B7'], ['B-:min7'], ['B7#11'], ['B-:min7'], ['B7#11'], ['B-:min7'], ['B7#11'], ['B-:min7'], ['B-:min7']]}]"
655,Mean To Me,"Ahlert, Fred",1929,"['OTL: Mean To Me', 'COM: Ahlert, Fred', 'LYR: Turk, Roy', 'ODT: 1929']","['A', 'A2', 'B', 'A3']","[{'meta': ['*>A\n', '*M4/4\n', '*F:\n'], 'bars': [['F:maj7', 'F#o7'], ['G:min7', 'C7'], ['F:maj7', 'C:min7', 'F7'], ['B-:maj7', 'E-7'], ['A:min7', 'D7'], ['G:min7', 'C7'], ['F6', 'D:min7'], ['G7', 'C7']]}, {'meta': ['*>A2\n'], 'bars': [['F:maj7', 'F#o7'], ['G:min7', 'C7'], ['F:maj7', 'C:min7', 'F7'], ['B-:maj7', 'E-7'], ['A:min7', 'D7'], ['G:min7', 'C7'], ['F6', 'D:min7'], ['F6', 'C:min7', 'F7']]}, {'meta': ['*>B\n'], 'bars': [['B-6'], ['C7', 'F7'], ['B-6'], ['E-7', 'D7'], ['G:min7'], ['E-7', 'D7'], ['G7'], ['C7']]}, {'meta': ['*>A3\n'], 'bars': [['F:maj7', 'F#o7'], ['G:min7', 'C7'], ['F:maj7', 'C:min7', 'F7'], ['B-:maj7', 'E-7'], ['A:min7', 'D7'], ['G:min7', 'C7'], ['F6', 'D:min7'], ['G7', 'C7']]}]"
656,Ana Maria,"Shorter, Wayne",1974,"['OTL: Ana Maria', 'COM: Shorter, Wayne', 'ODT: 1974']","['A', 'B', 'C']","[{'meta': ['*>A\n', '*M4/4\n', '*G:\n'], 'bars': [['G:maj7'], ['E-:maj7/G'], ['G7sus'], ['E-:maj7/G'], ['D-:maj7/F'], ['G-:maj7#11'], ['A-:min7'], ['B-/A-'], ['G:min7'], ['C7sus'], ['D/C'], ['C7sus'], ['A-/C', 'B-/C'], ['A-/C'], ['G7b9sus'], ['E-:maj7/G']]}, {'meta': ['*>B\n'], 'bars': [['G:maj7'], ['G7sus'], ['E-/F', 'E7alt'], ['E-7sus'], ['D:maj7', 'F7#5'], ['B-:min7'], ['A-:min7'], ['B-/A-'], ['G:min7'], ['C7sus'], ['B-:maj7', 'A:min7'], ['F:min7'], ['B-7sus'], ['B-7sus'], ['D-7sus']]}, {'meta': ['*>C\n'], 'bars': [['B:min7'], ['B:min7'], ['E-:min7'], ['E-:min7'], ['D:maj7', 'F7#5'], ['B-:min7'], ['A-:min7'], ['B-/A-'], ['G:min7'], ['C7sus'], ['B-:maj7', 'A:min7'], ['F:min7', 'E:min7'], ['G7b9sus'], ['E-:maj7/G']]}]"
657,Some Enchanted Evening,"Rodgers, Richard",1949,"['OTL: Some Enchanted Evening', 'COM: Rodgers, Richard', 'ODT: 1949']","['A', 'N1', 'A', 'N2', 'B', 'A2', 'C']","[{'meta': ['*>A\n', '*M4/4\n', '*C:\n'], 'bars': [['C6'], ['C6'], ['G7'], ['G7'], ['C6'], ['G:min7', 'C7#5'], ['F:maj7'], ['F:maj7', 'A7b9'], ['D:min7', 'D:min7/C'], ['Bh7', 'E7'], ['A:min7', 'C7/G'], ['F:maj7', 'F:maj7/E'], ['D:min7'], ['G7']]}, {'meta': ['*>N1\n'], 'bars': [['C', 'A:min7'], ['D:min9', 'G7']]}, {'meta': ['*>N2\n'], 'bars': [['C'], ['C']]}, {'meta': ['*>B\n'], 'bars': [['G7/D', 'C'], ['G7', 'C6'], ['G7/D', 'C'], ['A:min7', 'D7'], ['G', 'Ah7'], ['B-o7', 'G7/B']]}, {'meta': ['*>A2\n'], 'bars': [['C6'], ['C6'], ['G7'], ['G7'], ['C6'], ['G:min7', 'C7#5'], ['F:maj7'], ['F:maj7', 'A7b9'], ['D:min7', 'D:min7/C'], ['Bh7', 'E7'], ['A:min7', 'C7/G'], ['F:maj7', 'F:maj7/E'], ['D:min7'], ['D:min7/G', 'G7'], ['C']]}, {'meta': ['*>C\n'], 'bars': [['G7/D', 'C'], ['G7', 'C6'], ['G7/D', 'C'], ['D:min7'], ['D:min7', 'D:min7/G'], ['C6']]}]"
658,Billie's Bounce,"Parker, Charlie",1945,"[""OTL: Billie's Bounce"", 'COM: Parker, Charlie', 'ODT: 1945']",['/'],[]
659,Dinah,"Akst, Harry",1925,"['OTL: Dinah', 'COM: Akst, Harry', 'ODT: 1925']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*G:\n'], 'bars': [['G:maj7', 'E:min7'], ['A:min7', 'D7'], ['G:maj7', 'C:maj7'], ['G/B', 'E:min7'], ['A:min7'], ['D7']]}, {'meta': ['*>N1\n'], 'bars': [['G6', 'B-o7'], ['A:min7', 'D7']]}, {'meta': ['*>N2\n'], 'bars': [['G6'], ['F#h7', 'B7b9']]}, {'meta': ['*>B\n'], 'bars': [['E:min'], ['E:min/D#'], ['E:min/D'], ['A7/C#'], ['E:min7'], ['A7'], ['A:min7'], ['D7']]}, {'meta': ['*>A2\n'], 'bars': [['G:maj7', 'E:min7'], ['A:min7', 'D7'], ['G:maj7', 'C:maj7'], ['G/B', 'E:min7'], ['A:min7'], ['D7'], ['G6'], ['A:min7', 'D7']]}]"
660,Too Marvelous For Words,"Whiting, Richard",1937,"['OTL: Too Marvelous For Words', 'COM: Whiting, Richard', 'ODT: 1937']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n'], 'bars': [['A:min7'], ['D7'], ['A:min7'], ['D7'], ['G:maj7'], ['C7#11']]}, {'meta': ['*>N1\n'], 'bars': [['B:min7'], ['E:min7']]}, {'meta': ['*>N2\n'], 'bars': [['B:maj7', 'F#7'], ['B6']]}, {'meta': ['*>B\n'], 'bars': [['D:min7'], ['G7'], ['D:min7'], ['G7'], ['C:maj7'], ['F7'], ['E:min7', 'A7'], ['A:min7', 'D7']]}, {'meta': ['*>A2\n'], 'bars': [['A:min7'], ['D7'], ['G:maj7', 'F7'], ['E7b9'], ['A:min7'], ['F7'], ['A:min7', 'D7'], ['G6']]}]"
661,Webb City,"Powell, Bud",1946,"['OTL: Webb City', 'COM: Powell, Bud', 'ODT: 1946']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*B-:\n'], 'bars': [['B-:maj7', 'G:min7'], ['C:min7', 'C#o7'], ['D:min7', 'G7b9'], ['C:min7', 'F7'], ['B-7'], ['E-7', 'E-:min7']]}, {'meta': ['*>N1\n'], 'bars': [['D:min7', 'G7b9'], ['C:min7', 'F7']]}, {'meta': ['*>N2\n'], 'bars': [['C:min7', 'F7'], ['B-6']]}, {'meta': ['*>B\n'], 'bars': [['E-7'], ['E-7'], ['B-7'], ['G7#5'], ['C7#11'], ['C7#11'], ['F7#5'], ['F7#5']]}, {'meta': ['*>A2\n'], 'bars': [['B-:maj7', 'G:min7'], ['C:min7', 'C#o7'], ['D:min7', 'G7b9'], ['C:min7', 'F7'], ['B-7'], ['E-7', 'E-:min7'], ['C:min7', 'F7'], ['B-6']]}]"
